,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
63,167,0,20000000.0,"[28, 80, 53, 18]","[60, 87394]",1995-09-14,7563728.0,107.0,1.0,23045436503.0,75771635.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
64,169,0,25000000.0,"[12, 28, 18, 878, 53]","[559, 2480]",1995-05-26,19075720.0,97.0,1.0,283905391661.0,936234721.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
65,170,0,90000000.0,[878],"[915, 1504]",1995-06-30,113493481.0,96.0,1.0,2034615247.0,683805632.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,172,0,1500000.0,"[18, 80]",[14],1995-07-28,7412216.0,91.0,1.0,267125226793.0,411586226.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,173,0,500000.0,"[18, 35]","[13187, 13190]",1995-01-20,1148752.0,89.0,1.0,39083237613.0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,177,0,6000000.0,"[10749, 35]","[33, 37, 11462, 16934]",1995-10-20,2122561.0,94.0,3151130.0,1292158863.0,1198805529.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
69,178,0,15000000.0,"[28, 12, 878, 10751, 14]","[306, 2106, 9255]",1995-06-30,66000000.0,92.0,1.0,42431141979.0,1175607624.3333333,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
70,180,0,2.0,"[53, 10769]","[16561, 38959, 38960]",1995-09-28,1.0,95.0,1.0,1.0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
71,182,0,22000000.0,"[80, 18, 9648, 53, 28]",[5],1995-07-28,110627965.0,114.0,1.0,224931910209.0,699124704.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
72,184,0,150000.0,[35],[37890],1995-06-09,472370.0,94.0,1.0,20836717913.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
